Object_ID, Length, Assignment
M03424:106:000000000-AU667:1:1102:24229:12862/1,81,NA
M03424:106:000000000-AU667:1:1102:24322:22686/1,193,NA
M03424:106:000000000-AU667:1:1102:24956:21027/1,176,NA
M03424:106:000000000-AU667:1:1102:25008:9920/1,80,NA
M03424:106:000000000-AU667:1:1102:25814:6044/1,301,NA
M03424:106:000000000-AU667:1:1102:25913:11966/1,165,NA
M03424:106:000000000-AU667:1:1102:25992:20363/1,84,NA
M03424:106:000000000-AU667:1:1102:26104:11081/1,132,NA
M03424:106:000000000-AU667:1:1102:26378:17381/1,301,NA
M03424:106:000000000-AU667:1:1102:26906:18829/1,93,NA
M03424:106:000000000-AU667:1:1102:26969:12039/1,301,1805714
M03424:106:000000000-AU667:1:1102:28303:7524/1,301,NA
M03424:106:000000000-AU667:1:1102:28489:8062/1,108,NA
M03424:106:000000000-AU667:1:1102:29168:11470/1,300,NA
M03424:106:000000000-AU667:1:1103:2577:9699/1,115,NA
M03424:106:000000000-AU667:1:1103:3044:10446/1,48,529
M03424:106:000000000-AU667:1:1103:3094:13355/1,43,NA
M03424:106:000000000-AU667:1:1103:3680:12351/1,145,NA
M03424:106:000000000-AU667:1:1103:4171:19501/1,54,NA
M03424:106:000000000-AU667:1:1103:4634:5317/1,57,NA
M03424:106:000000000-AU667:1:1103:4674:19631/1,46,NA
M03424:106:000000000-AU667:1:1103:4912:21135/1,135,NA
M03424:106:000000000-AU667:1:1103:5094:10271/1,64,NA
M03424:106:000000000-AU667:1:1103:5151:5608/1,202,NA
M03424:106:000000000-AU667:1:1103:5197:21181/1,301,NA
M03424:106:000000000-AU667:1:1103:5454:10755/1,99,NA
M03424:106:000000000-AU667:1:1103:5505:18021/1,176,NA
M03424:106:000000000-AU667:1:1103:5843:19343/1,300,NA
M03424:106:000000000-AU667:1:1103:6015:20380/1,301,NA
M03424:106:000000000-AU667:1:1103:6213:19375/1,59,NA
M03424:106:000000000-AU667:1:1103:6824:21458/1,301,NA
M03424:106:000000000-AU667:1:1103:7227:5176/1,42,NA
M03424:106:000000000-AU667:1:1103:7530:20640/1,132,NA
M03424:106:000000000-AU667:1:1103:7761:20140/1,197,NA
M03424:106:000000000-AU667:1:1103:7927:9650/1,84,NA
M03424:106:000000000-AU667:1:1103:8592:4311/1,66,NA
M03424:106:000000000-AU667:1:1103:8752:13302/1,43,NA
M03424:106:000000000-AU667:1:1103:8838:15848/1,300,NA
M03424:106:000000000-AU667:1:1103:9113:23506/1,35,NA
M03424:106:000000000-AU667:1:1103:9189:17054/1,206,NA
M03424:106:000000000-AU667:1:1103:10330:22147/1,167,NA
M03424:106:000000000-AU667:1:1103:10564:13532/1,63,NA
M03424:106:000000000-AU667:1:1103:10885:10824/1,301,NA
M03424:106:000000000-AU667:1:1103:11102:24885/1,52,NA
M03424:106:000000000-AU667:1:1103:11282:23848/1,129,NA
M03424:106:000000000-AU667:1:1103:11409:24505/1,44,NA
M03424:106:000000000-AU667:1:1103:11770:11672/1,35,NA
M03424:106:000000000-AU667:1:1103:11849:13066/1,146,NA
M03424:106:000000000-AU667:1:1103:12263:7733/1,200,NA
M03424:106:000000000-AU667:1:1103:12531:6607/1,35,NA
M03424:106:000000000-AU667:1:1103:12951:21098/1,45,NA
M03424:106:000000000-AU667:1:1103:13029:23916/1,169,NA
M03424:106:000000000-AU667:1:1103:13452:19665/1,82,NA
M03424:106:000000000-AU667:1:1103:13558:11856/1,301,NA
M03424:106:000000000-AU667:1:1103:14028:16721/1,65,NA
M03424:106:000000000-AU667:1:1103:14379:23074/1,301,NA
M03424:106:000000000-AU667:1:1103:14785:10169/1,300,NA
M03424:106:000000000-AU667:1:1103:15006:3516/1,35,NA
M03424:106:000000000-AU667:1:1103:15426:4007/1,35,NA
M03424:106:000000000-AU667:1:1103:15512:8970/1,73,NA
M03424:106:000000000-AU667:1:1103:16342:9784/1,87,NA
M03424:106:000000000-AU667:1:1103:16461:1886/1,61,NA
M03424:106:000000000-AU667:1:1103:16717:11658/1,301,NA
M03424:106:000000000-AU667:1:1103:16734:2156/1,301,NA
M03424:106:000000000-AU667:1:1103:16779:6398/1,301,1805714
M03424:106:000000000-AU667:1:1103:16797:17618/1,82,NA
M03424:106:000000000-AU667:1:1103:17159:8361/1,73,NA
M03424:106:000000000-AU667:1:1103:17743:11911/1,176,NA
M03424:106:000000000-AU667:1:1103:17902:21297/1,35,NA
M03424:106:000000000-AU667:1:1103:18183:18019/1,301,NA
M03424:106:000000000-AU667:1:1103:18562:5635/1,78,NA
M03424:106:000000000-AU667:1:1103:18627:16708/1,53,NA
M03424:106:000000000-AU667:1:1103:19241:8091/1,35,NA
M03424:106:000000000-AU667:1:1103:19494:12165/1,54,NA
M03424:106:000000000-AU667:1:1103:19743:14211/1,64,NA
M03424:106:000000000-AU667:1:1103:19752:14523/1,301,NA
M03424:106:000000000-AU667:1:1103:19960:21615/1,300,NA
M03424:106:000000000-AU667:1:1103:19961:14246/1,100,NA
M03424:106:000000000-AU667:1:1103:20329:6709/1,300,NA
M03424:106:000000000-AU667:1:1103:20356:19887/1,41,NA
M03424:106:000000000-AU667:1:1103:21332:22803/1,44,NA
M03424:106:000000000-AU667:1:1103:21889:12984/1,301,1805714
M03424:106:000000000-AU667:1:1103:22247:21314/1,72,NA
M03424:106:000000000-AU667:1:1103:22253:15698/1,301,NA
M03424:106:000000000-AU667:1:1103:23231:15923/1,301,NA
M03424:106:000000000-AU667:1:1103:23660:9086/1,171,NA
M03424:106:000000000-AU667:1:1103:24126:23143/1,123,NA
M03424:106:000000000-AU667:1:1103:25190:8306/1,78,NA
M03424:106:000000000-AU667:1:1103:25279:14704/1,198,NA
M03424:106:000000000-AU667:1:1103:25349:17431/1,128,NA
M03424:106:000000000-AU667:1:1103:25761:8548/1,65,NA
M03424:106:000000000-AU667:1:1103:26724:11986/1,301,NA
M03424:106:000000000-AU667:1:1103:26853:15755/1,161,NA
M03424:106:000000000-AU667:1:1103:27100:13789/1,56,NA
M03424:106:000000000-AU667:1:1103:28597:9818/1,301,NA
M03424:106:000000000-AU667:1:1104:2321:16857/1,39,NA
M03424:106:000000000-AU667:1:1104:3829:19879/1,47,NA
M03424:106:000000000-AU667:1:1104:4427:7887/1,301,NA
M03424:106:000000000-AU667:1:1104:5186:22064/1,55,NA
M03424:106:000000000-AU667:1:1104:5301:14178/1,105,NA
M03424:106:000000000-AU667:1:1104:5986:9401/1,76,NA
M03424:106:000000000-AU667:1:1104:6879:20017/1,45,NA
M03424:106:000000000-AU667:1:1104:7069:16021/1,103,NA
M03424:106:000000000-AU667:1:1104:7115:21861/1,84,NA
M03424:106:000000000-AU667:1:1104:7124:11494/1,301,NA
M03424:106:000000000-AU667:1:1104:7503:6431/1,148,NA
M03424:106:000000000-AU667:1:1104:7572:12101/1,95,NA
M03424:106:000000000-AU667:1:1104:7894:20957/1,37,NA
M03424:106:000000000-AU667:1:1104:8191:12470/1,45,NA
M03424:106:000000000-AU667:1:1104:8274:9397/1,74,NA
M03424:106:000000000-AU667:1:1104:8816:6315/1,301,NA
M03424:106:000000000-AU667:1:1104:9223:10288/1,164,NA
M03424:106:000000000-AU667:1:1104:9269:19522/1,85,NA
M03424:106:000000000-AU667:1:1104:9291:22489/1,115,NA
M03424:106:000000000-AU667:1:1104:9737:4573/1,86,NA
M03424:106:000000000-AU667:1:1104:9827:14821/1,197,NA
M03424:106:000000000-AU667:1:1104:9996:19993/1,35,NA
M03424:106:000000000-AU667:1:1104:10754:12729/1,68,NA
M03424:106:000000000-AU667:1:1104:11692:13218/1,301,NA
M03424:106:000000000-AU667:1:1104:12215:24744/1,58,NA
M03424:106:000000000-AU667:1:1104:12243:12135/1,35,NA
M03424:106:000000000-AU667:1:1104:12893:3584/1,146,NA
M03424:106:000000000-AU667:1:1104:13322:3943/1,41,NA
M03424:106:000000000-AU667:1:1104:13675:6153/1,301,NA
M03424:106:000000000-AU667:1:1104:13865:7462/1,51,NA
M03424:106:000000000-AU667:1:1104:14407:8994/1,43,NA
M03424:106:000000000-AU667:1:1104:14967:17964/1,44,NA
M03424:106:000000000-AU667:1:1104:15131:23864/1,142,NA
M03424:106:000000000-AU667:1:1104:15367:4560/1,301,NA
M03424:106:000000000-AU667:1:1104:15663:4916/1,66,NA
M03424:106:000000000-AU667:1:1104:15695:18003/1,42,NA
M03424:106:000000000-AU667:1:1104:15763:6073/1,94,NA
M03424:106:000000000-AU667:1:1104:15970:2304/1,148,NA
M03424:106:000000000-AU667:1:1104:16523:18839/1,91,NA
M03424:106:000000000-AU667:1:1104:16810:18927/1,43,NA
M03424:106:000000000-AU667:1:1104:17690:14539/1,126,NA
M03424:106:000000000-AU667:1:1104:17811:16157/1,43,NA
M03424:106:000000000-AU667:1:1104:18318:11932/1,82,NA
M03424:106:000000000-AU667:1:1104:18616:16642/1,44,NA
M03424:106:000000000-AU667:1:1104:19092:9371/1,41,NA
M03424:106:000000000-AU667:1:1104:19513:14290/1,144,NA
M03424:106:000000000-AU667:1:1104:20078:4451/1,301,NA
M03424:106:000000000-AU667:1:1104:20262:21399/1,37,NA
M03424:106:000000000-AU667:1:1104:21119:15859/1,98,NA
M03424:106:000000000-AU667:1:1104:21293:23782/1,42,NA
M03424:106:000000000-AU667:1:1104:21558:24374/1,57,NA
M03424:106:000000000-AU667:1:1104:22257:18086/1,74,NA
M03424:106:000000000-AU667:1:1104:22811:12075/1,35,NA
M03424:106:000000000-AU667:1:1104:22953:16190/1,35,NA
M03424:106:000000000-AU667:1:1104:22959:19868/1,61,NA
M03424:106:000000000-AU667:1:1104:23715:22761/1,55,NA
M03424:106:000000000-AU667:1:1104:24499:16289/1,101,NA
M03424:106:000000000-AU667:1:1104:26259:22136/1,57,NA
M03424:106:000000000-AU667:1:1104:26546:12790/1,109,NA
M03424:106:000000000-AU667:1:1104:27054:18319/1,130,NA
M03424:106:000000000-AU667:1:1104:27217:6937/1,54,NA
M03424:106:000000000-AU667:1:1104:27692:11236/1,199,NA
M03424:106:000000000-AU667:1:1104:27710:10440/1,67,NA
M03424:106:000000000-AU667:1:1104:28346:17104/1,47,NA
M03424:106:000000000-AU667:1:1105:2657:9822/1,300,NA
M03424:106:000000000-AU667:1:1105:3047:15418/1,57,NA
M03424:106:000000000-AU667:1:1105:3996:18671/1,66,NA
M03424:106:000000000-AU667:1:1105:4574:10160/1,143,1790137
M03424:106:000000000-AU667:1:1105:5254:14839/1,56,NA
M03424:106:000000000-AU667:1:1105:5991:22670/1,84,NA
M03424:106:000000000-AU667:1:1105:6063:14391/1,301,NA
M03424:106:000000000-AU667:1:1105:6455:7177/1,132,NA
M03424:106:000000000-AU667:1:1105:6852:20076/1,98,NA
M03424:106:000000000-AU667:1:1105:7172:13236/1,62,NA
M03424:106:000000000-AU667:1:1105:7678:17884/1,97,NA
M03424:106:000000000-AU667:1:1105:7790:9971/1,65,NA
M03424:106:000000000-AU667:1:1105:7849:2970/1,278,NA
M03424:106:000000000-AU667:1:1105:7979:19195/1,109,NA
M03424:106:000000000-AU667:1:1105:8052:3334/1,301,1805714
M03424:106:000000000-AU667:1:1105:8633:21617/1,301,NA
M03424:106:000000000-AU667:1:1105:9621:12022/1,35,NA
M03424:106:000000000-AU667:1:1105:10261:11663/1,301,NA
M03424:106:000000000-AU667:1:1105:10729:22478/1,45,NA
M03424:106:000000000-AU667:1:1105:11519:19838/1,227,NA
M03424:106:000000000-AU667:1:1105:11774:24736/1,300,1805714
M03424:106:000000000-AU667:1:1105:11850:5960/1,301,NA
M03424:106:000000000-AU667:1:1105:11863:9077/1,88,NA
M03424:106:000000000-AU667:1:1105:12089:21262/1,301,NA
M03424:106:000000000-AU667:1:1105:12295:5595/1,120,NA
M03424:106:000000000-AU667:1:1105:12627:5401/1,133,NA
M03424:106:000000000-AU667:1:1105:13147:11354/1,159,NA
M03424:106:000000000-AU667:1:1105:13397:19022/1,35,NA
M03424:106:000000000-AU667:1:1105:14315:19055/1,98,NA
M03424:106:000000000-AU667:1:1105:14384:11156/1,301,NA
M03424:106:000000000-AU667:1:1105:14437:11140/1,163,NA
M03424:106:000000000-AU667:1:1105:14974:13714/1,172,NA
M03424:106:000000000-AU667:1:1105:15086:2703/1,35,NA
M03424:106:000000000-AU667:1:1105:15260:13193/1,222,NA
M03424:106:000000000-AU667:1:1105:15527:17816/1,75,NA
M03424:106:000000000-AU667:1:1105:15769:19107/1,125,NA
M03424:106:000000000-AU667:1:1105:16014:5293/1,223,NA
M03424:106:000000000-AU667:1:1105:16350:24111/1,36,NA
M03424:106:000000000-AU667:1:1105:16477:16634/1,120,NA
